Date,Interest_Rate,New_Listings,Average_Price
2018-01-31,5.755159494285419,668,295054.33301445754
2018-02-28,5.018817551480526,138,294020.9974216839
2018-03-31,7.138939047129933,208,719368.2416928508
2018-04-30,5.95216178971367,792,796835.9034123386
2018-05-31,2.977606562488578,141,666695.0120777277
2018-06-30,2.4234124844025793,285,969738.0387796336
2018-07-31,5.854515669237894,497,499896.46361896326
2018-08-31,2.1590678632497307,322,428569.66902548855
2018-09-30,5.51465348764078,733,894879.3025515683
2018-10-31,7.641381448549746,232,378876.67081556213
2018-11-30,5.452845067255273,262,970578.031552489
2018-12-31,4.329019557239132,314,209723.57975185307
2019-01-31,5.859729310654119,832,975903.0613661113
2019-02-28,4.749517342949099,334,234527.9295604609
2019-03-31,5.273700735895609,942,912914.4909584569
2019-04-30,7.648788852659151,757,622160.8872690399
2019-05-31,4.316615826804646,850,994371.8368954402
2019-06-30,7.767143382943486,687,259037.2517883191
2019-07-31,7.432103851736382,108,643083.4275210566
2019-08-31,3.1747468087357786,173,975442.0284952791
2019-09-30,2.4161678052509927,591,618478.2753361191
2019-10-31,2.60466800826456,352,703518.9105082101
2019-11-30,2.109330953909298,329,756598.9511876937
2019-12-31,2.56665776453557,618,563632.8518142186
2020-01-31,6.098040640498141,273,702046.4640672507
2020-02-29,2.427131890761374,752,667451.4495384803
2020-03-31,3.913853781762568,267,920926.4083927912
2020-04-30,7.069251865816727,269,236357.1042731663
2020-05-31,2.139631614414955,492,424770.55167378427
2020-06-30,6.886810895533615,894,960329.187261247
2020-07-31,3.6911286486403996,733,912211.0271127331
2020-08-31,2.7089889657299375,293,564525.4022285703
2020-09-30,6.180422992184904,616,696106.0782412294
2020-10-31,5.773657080679304,128,421904.9463849062
2020-11-30,7.264832081162318,264,350496.92777900904
2020-12-31,6.410426262823314,521,570958.7239519857
2021-01-31,6.820885582309091,438,482681.78242084227
2021-02-28,3.692207435427839,747,666924.8894806977
2021-03-31,3.064637262678337,595,262187.70957198786
2021-04-30,6.50368850984515,464,979515.8461329332
2021-05-31,6.841008435603584,932,988968.5955836823
2021-06-30,7.94303085200404,441,758529.3712157961
2021-07-31,4.475706061468559,599,628877.0930752964
2021-08-31,4.232108514756699,756,447622.0930290622
2021-09-30,6.658477764451981,610,851036.0157655589
2021-10-31,4.0448212415181075,426,747784.9380431034
2021-11-30,7.584543953621388,316,330093.55147591303
2021-12-31,7.150476511058071,400,928741.747595074
2022-01-31,4.5739641642501105,231,858029.7943385352
2022-02-28,6.505226406748984,903,959839.9306335392
2022-03-31,6.527257244508094,169,780575.606710688
2022-04-30,2.6187432130155957,351,690732.156748632
2022-05-31,7.4153174400774,514,534594.4290324951
2022-06-30,5.031514234687143,886,946182.7866832106
2022-07-31,6.9587447966464495,544,892851.1116003267
2022-08-31,3.9202976061836705,975,236174.93608495154
2022-09-30,7.373139370977203,281,221093.5795978016
2022-10-31,4.335210072404979,266,501170.69350243965
2022-11-30,2.06502590888179,190,848442.6646254663
2022-12-31,7.4322918585155815,813,989820.9034519555
2023-01-31,2.5477200607168013,957,320333.51288282254
2023-02-28,3.915881825542489,630,675304.5722817081
2023-03-31,7.700371802304829,138,504712.6853048172
2023-04-30,7.703642881625337,225,975931.5182516825
2023-05-31,5.440627328739716,550,873695.138508567
2023-06-30,5.791023273018796,272,870662.9637689103
2023-07-31,4.690673131869919,752,574954.5278359762
2023-08-31,3.759264630188387,853,531855.6018701321
2023-09-30,3.9719872722194958,319,418725.657544565
2023-10-31,6.03511073646223,737,245100.3973207417
2023-11-30,6.51424717662608,157,891777.9010040426
2023-12-31,6.749474262355092,759,850320.8073040621
